|GCZP2A     | Chromite - FeOCr2O3 - DP/EC5 | BRAGANCA   | danieloliveira | 41.80 | -6.88 | EARTHCACHE | NOT_CHOSEN | 1.00 | 1.50 | AVAILABLE  | 2006/12/05 | 62 | 2 | 2 | 838
|GCMK6J     | Linhas de Torres - Forte de Ribas [Loures] | LISBOA     | lamas      | 38.90 | -9.16 | TRADITIONAL | REGULAR    | 1.00 | 2.00 | AVAILABLE  | 2005/01/23 | 309 | 5 | 2 | -9999999
|GC11PQH    | ABOBOREIRA      | PORTO      | eterlusitano | 41.16 | -8.03 | MULTI      | REGULAR    | 2.00 | 3.00 | AVAILABLE  | 2007/03/24 | 49 | 4 | 0 | 547
|GCM6WW     | Penas do Castelo [Porto de Mos] | LEIRIA     | olharapo   | 39.58 | -8.81 | TRADITIONAL | REGULAR    | 2.00 | 3.00 | AVAILABLE  | 2004/12/03 | 228 | 31 | 63 | 322
|GC176VF    | Mata da Margaraca [Arganil] | COIMBRA    | riraposo   | 40.22 | -7.92 | TRADITIONAL | REGULAR    | 1.50 | 2.50 | AVAILABLE  | 2007/11/05 | 369 | 5 | 18 | 576
|GC54DD     | Last Home of Gertrude [Mafra] | LISBOA     | MikeAndCows | 38.89 | -9.34 | TRADITIONAL | REGULAR    | 3.00 | 3.00 | AVAILABLE  | 2002/05/05 | 414 | 2 | 101 | -9999999
|GC10FGA    | Linhas de Torres e as Comunicacoes [Ponte do Rol] | LISBOA     | almeidara  | 39.09 | -9.32 | TRADITIONAL | REGULAR    | 1.00 | 1.50 | AVAILABLE  | 2007/01/20 | 355 | 14 | 3 | 29
|GC1196Z    | MARAGOUTOS      | PORTO      | eterlusitano | 41.33 | -8.27 | MULTI      | REGULAR    | 2.00 | 2.50 | AVAILABLE  | 2007/03/01 | 87 | 8 | 7 | 483
|GC16Z5X    | COSTA RASA VULGO TALEFE (VG) | PORTO      | eterlusitano | 41.13 | -8.02 | TRADITIONAL | SMALL      | 3.00 | 2.50 | AVAILABLE  | 2007/10/26 | 30 | 5 | 1 | 690
|GCT9EM     | Pomarao         | BEJA       | clcortez   | 37.55 | -7.53 | TRADITIONAL | REGULAR    | 3.00 | 2.50 | AVAILABLE  | 2006/01/30 | 82 | 2 | 8 | 12
|GC14ZY4    | Armona [Olhao]  | FARO       | FamiliaSilvestre | 37.02 | -7.80 | TRADITIONAL | SMALL      | 1.50 | 1.50 | AVAILABLE  | 2007/08/02 | 276 | 30 | 6 | 1
|GC12PBC    | Letterbox Ti Jacinto [Alenquer] | LISBOA     | mtrevas    | 39.07 | -9.08 | LETTERBOX  | REGULAR    | 3.00 | 2.00 | AVAILABLE  | 2007/05/06 | 122 | 3 | 26 | 135
|GC133A0    | Maia Central    | PORTO      | kidloco    | 41.23 | -8.62 | TRADITIONAL | MICRO      | 3.00 | 1.00 | AVAILABLE  | 2007/05/25 | 374 | 54 | 0 | 98
|GC10701    | Mosteiro de Santa Clara (Vila do Conde) | PORTO      | Jafqa      | 41.35 | -8.74 | TRADITIONAL | SMALL      | 1.00 | 1.00 | AVAILABLE  | 2007/01/05 | 1350 | 21 | 22 | 22
|GC14VBV    | Duas Barragens TB Country Hotel [Silves] | FARO       | clcortez   | 37.26 | -8.38 | TRADITIONAL | LARGE      | 1.50 | 2.00 | AVAILABLE  | 2007/09/09 | 420 | 3 | 8 | 104
|GC10GWX    | Quatrim do Sul [Olhao] | FARO       | Torgut     | 37.04 | -7.80 | TRADITIONAL | REGULAR    | 2.00 | 2.00 | DISABLED   | 2007/01/22 | 363 | 25 | 5 | 1
|GC13MBF    | Ar              | VILA REAL  | Reino Maravilhoso | 41.17 | -7.67 | MULTI      | REGULAR    | 2.00 | 2.00 | AVAILABLE  | 2007/06/14 | 76 | 6 | 4 | 616
|GC32B5     | Prehistory Repeating | BRAGA      | plntrplntr | 41.53 | -8.31 | TRADITIONAL | REGULAR    | 3.50 | 2.50 | AVAILABLE  | 2002/01/14 | 204 | 2 | 15 | 304
|GCVZ7D     | GnE II d - Oferta de emprego: Pirata! [Cascais] | LISBOA     | rebordao   | 38.75 | -9.47 | TRADITIONAL | SMALL      | 2.50 | 4.00 | AVAILABLE  | 2006/05/10 | 250 | 6 | 57 | 31
|GC10QPE    | Quinta das Campainhas | LISBOA     | juquinha   | 38.75 | -9.18 | MULTI      | MICRO      | 2.00 | 1.00 | AVAILABLE  | 2007/02/04 | 284 | 13 | 6 | 76
|GCW245     | cache motard    | FARO       | jorgefjr   | 37.12 | -8.01 | TRADITIONAL | REGULAR    | 2.50 | 3.00 | AVAILABLE  | 2006/05/14 | 325 | 8 | 1 | -9999999
|GC12RWF    | Woodpecker Club | PORTO      | kidloco    | 41.15 | -8.66 | PUZZLE     | MICRO      | 3.50 | 1.50 | AVAILABLE  | 2007/05/10 | 228 | 3 | 11 | 30
|GC14BD9    | ST01 - SANTA MARTA DAS CORTICAS | BRAGA      | SPY_Team   | 41.51 | -8.40 | MULTI      | REGULAR    | 2.50 | 1.50 | AVAILABLE  | 2007/07/14 | 259 | 7 | 2 | 543
|GCTGMM     | Real Barraca [Lisboa] | LISBOA     | btrodrigues | 38.71 | -9.20 | TRADITIONAL | MICRO      | 1.00 | 1.00 | AVAILABLE  | 2006/02/18 | 752 | 79 | 5 | 82
|GC12B19    | Vista Armona [Olhao] | FARO       | alieri     | 37.03 | -7.81 | TRADITIONAL | SMALL      | 2.00 | 2.00 | AVAILABLE  | 2007/04/21 | 417 | 19 | 8 | 3
|GCW2P4     | Brecha da Arrabida | SETUBAL    | paulohercules | 38.46 | -9.01 | TRADITIONAL | REGULAR    | 1.50 | 2.00 | AVAILABLE  | 2006/05/16 | 556 | 16 | 24 | 182
|GCKYQH     | Chafariz de Loures | LISBOA     | clcortez   | 38.83 | -9.17 | MULTI      | REGULAR    | 2.50 | 2.00 | AVAILABLE  | 2004/10/30 | 283 | 21 | 44 | 22
|GC1529A    | Ponte da Panchorra | VISEU      | blk.ngel   | 41.01 | -7.98 | TRADITIONAL | REGULAR    | 2.00 | 3.00 | AVAILABLE  | 2007/08/11 | 109 | 6 | 6 | 1031
|GC118B7    | Fonte do Pedro  | PORTO      | emlino     | 41.44 | -8.68 | TRADITIONAL | SMALL      | 2.00 | 2.50 | AVAILABLE  | 2007/03/03 | 231 | 10 | 1 | 101
|GCXYCD     | Cerro da Villa [Vilamoura - Loule] | FARO       | jcr        | 37.08 | -8.12 | MULTI      | REGULAR    | 2.50 | 1.50 | AVAILABLE  | 2006/08/24 | 355 | 16 | 10 | 8
|GCQYPP     | Lenda da Imagem da Nossa Senhora do Carmo | BRAGA      | ar-my      | 41.45 | -8.52 | MULTI      | SMALL      | 2.00 | 2.50 | AVAILABLE  | 2005/10/13 | 222 | 10 | 15 | 188
|GC16F1H    | View to Madeira | ARQUIPELAGO DA MADEIRA | Alexpxo    | 33.03 | -16.38 | TRADITIONAL | SMALL      | 1.50 | 2.50 | AVAILABLE  | 2007/10/06 | 417 | 3 | 20 | 156
|GC11Y69    | Falha do Louro [Palmela] | SETUBAL    | truta      | 38.56 | -8.93 | TRADITIONAL | REGULAR    | 3.00 | 3.50 | AVAILABLE  | 2007/03/24 | 338 | 11 | 59 | 196
|GCMR9D     | BH12 Miradouro de Sao Pedro de Alcantara [Lisboa] | LISBOA     | prodrive   | 38.72 | -9.14 | TRADITIONAL | OTHER_SIZE | 1.00 | 1.00 | DISABLED   | 2005/03/03 | 2642 | 230 | 136 | 55
|GCM6HK     | The Wolf Trap (Vila Real) | VILA REAL  | zoom_bee   | 41.39 | -7.72 | TRADITIONAL | REGULAR    | 1.50 | 1.50 | AVAILABLE  | 2004/12/01 | 142 | 2 | 13 | 833
|GCQ3E2     | Geiger Counter  | GUARDA     | afonso_loureiro | 40.37 | -7.18 | MULTI      | REGULAR    | 1.00 | 3.00 | AVAILABLE  | 2005/08/10 | 57 | 4 | 4 | -9999999
|GCR9RW     | Cantaro Magro   | GUARDA     | nat_cache  | 40.33 | -7.60 | TRADITIONAL | REGULAR    | 2.00 | 4.50 | AVAILABLE  | 2005/11/05 | 249 | 7 | 79 | -9999999
|GCN0N2     | Pe no Trilho [Batalha] | LEIRIA     | olharapo   | 39.64 | -8.76 | TRADITIONAL | REGULAR    | 2.00 | 3.00 | AVAILABLE  | 2005/03/06 | 336 | 2 | 12 | 252
|GCPCMB     | Braga por um Canudo | BRAGA      | Pedro_Alvares_Cabral  | 41.55 | -8.38 | MULTI      | REGULAR    | 2.00 | 3.00 | AVAILABLE  | 2005/06/20 | 502 | 23 | 27 | 291
|GCRYM3     | Cantaro Gordo   | GUARDA     | nat_cache  | 40.34 | -7.59 | MULTI      | REGULAR    | 3.00 | 5.00 | AVAILABLE  | 2005/12/10 | 125 | 9 | 47 | -9999999
|GC15PP6    | Railroad Station - Ponte de Sor {Projecto Geogare}PORTALEGRE | PORTALEGRE | manelov    | 39.27 | -8.01 | TRADITIONAL | MICRO      | 2.50 | 1.00 | AVAILABLE  | 2007/09/05 | 450 | 7 | 0 | 117
|GC127CE    | Baia do Seixal  | SETUBAL    | PPereira   | 38.64 | -9.11 | TRADITIONAL | SMALL      | 1.50 | 1.00 | AVAILABLE  | 2007/04/16 | 964 | 19 | 5 | 5
|GC10ZWG    | Church of S.Lourenco [Almancil] | FARO       | Torgut     | 37.08 | -8.01 | TRADITIONAL | SMALL      | 1.50 | 1.50 | AVAILABLE  | 2007/02/20 | 971 | 12 | 7 | 33
|GC1C89     | A Praia e o Rio [Ericeira] | LISBOA     | btrodrigues | 38.94 | -9.41 | TRADITIONAL | REGULAR    | 1.50 | 2.00 | AVAILABLE  | 2001/09/11 | 524 | 8 | 40 | 61
|GCWKW2     | Era uma vez... no Jardim da Alameda | FARO       | rifkindsss | 37.01 | -7.93 | TRADITIONAL | SMALL      | 2.00 | 1.50 | AVAILABLE  | 2006/06/04 | 999 | 89 | 7 | -9999999
|GC15YPF    | Capela do Calvario [Ferreira do Alentejo] | BEJA       | MightyReek | 38.06 | -8.12 | MULTI      | SMALL      | 1.50 | 1.50 | AVAILABLE  | 2007/09/14 | 326 | 12 | 4 | 134
|GC1778M    | Palhota [Cartaxo] | SANTAREM   | FamiliaSilvestre | 39.06 | -8.78 | MULTI      | SMALL      | 1.50 | 1.50 | AVAILABLE  | 2007/11/03 | 224 | 8 | 7 | 6
|GCXGD6     | La Raya - A Raia | BRAGANCA   | Aliste     | 41.58 | -6.21 | MULTI      | REGULAR    | 2.00 | 3.50 | AVAILABLE  | 2006/08/04 | 35 | 6 | 10 | 762
|GC16JE9    | YACIN - Coa [Sabugal] | GUARDA     | HDV        | 40.28 | -6.87 | TRADITIONAL | LARGE      | 2.00 | 2.50 | AVAILABLE  | 2007/10/10 | 78 | 1 | 6 | 1158
|GC15NYZ    | The Lagos 6+1: #7 - BONUS CACHE | FARO       | Team Caracache | 37.13 | -8.70 | PUZZLE     | SMALL      | 3.00 | 1.50 | AVAILABLE  | 2007/09/04 | 102 | 2 | 10 | 34
|GC16F1A    | OASIS           | ARQUIPELAGO DA MADEIRA | Luis Pestana | 32.74 | -16.69 | TRADITIONAL | SMALL      | 2.50 | 3.50 | AVAILABLE  | 2007/10/06 | 1990 | 50 | 178 | -9999999
|GC11TK4    | ALCOA PASSA ... POR ALCOBACA | LEIRIA     | NSilva & Gorete | 39.54 | -8.94 | MULTI      | REGULAR    | 2.00 | 2.50 | AVAILABLE  | 2007/03/31 | 178 | 10 | 5 | 63
|GCJW6E     | Cristo Rei [Almada] | SETUBAL    | btrodrigues | 38.68 | -9.17 | TRADITIONAL | SMALL      | 1.50 | 1.50 | AVAILABLE  | 2004/07/03 | 1813 | 43 | 55 | -9999999
|GC1654H    | Nobre Terra Hospitaleira [Mangualde] | VISEU      | cmatos     | 40.60 | -7.76 | PUZZLE     | SMALL      | 2.00 | 1.00 | DISABLED   | 2007/09/23 | 191 | 13 | 2 | 539
|GCHRP5     | Madrinha [Monchique] | FARO       | Torgut     | 37.31 | -8.61 | TRADITIONAL | REGULAR    | 3.00 | 2.00 | AVAILABLE  | 2004/02/24 | 419 | 8 | 5 | 774
|GCMD0V     | A crianca que veio do passado [Leiria] | LEIRIA     | Baunilha & Chocolate | 39.76 | -8.73 | TRADITIONAL | REGULAR    | 2.00 | 3.00 | AVAILABLE  | 2005/01/01 | 389 | 19 | 11 | -9999999
|GCXQVQ     | Minho Verde [Pte de Lima - pt+en]] | VIANA DO CASTELO | caixeiros  | 41.69 | -8.58 | MULTI      | SMALL      | 2.50 | 2.50 | AVAILABLE  | 2006/08/15 | 60 | 6 | 0 | 239
|GCVWZ4     | A cache do Roger [Orion's Belt] | LISBOA     | RogerOliveira | 38.76 | -9.48 | TRADITIONAL | REGULAR    | 1.00 | 3.50 | AVAILABLE  | 2006/05/07 | 190 | 1 | 27 | 28
|GC14JYA    | Praia da Falesia [Vilamoura] | FARO       | prodrive   | 37.08 | -8.14 | TRADITIONAL | REGULAR    | 1.00 | 2.00 | AVAILABLE  | 2007/07/23 | 1280 | 33 | 24 | 7
|GCM9H1     | Louzan          | COIMBRA    | maillart   | 40.07 | -8.24 | TRADITIONAL | SMALL      | 2.00 | 2.50 | AVAILABLE  | 2004/12/16 | 131 | 13 | 6 | -9999999
|GCXTNF     | Coracao Brigantino | BRAGANCA   | dj green   | 41.80 | -6.75 | TRADITIONAL | SMALL      | 2.00 | 2.50 | AVAILABLE  | 2006/08/19 | 403 | 12 | 5 | -9999999
|GCMA7E     | Na Mouche       | LISBOA     | btrodrigues | 38.79 | -9.09 | PUZZLE     | REGULAR    | 3.00 | 1.50 | AVAILABLE  | 2004/12/20 | 434 | 65 | 14 | 0
|GC13JKY    | Castelo de Alcanede [Santarem] | SANTAREM   | HDV        | 39.42 | -8.82 | TRADITIONAL | SMALL      | 1.50 | 2.00 | AVAILABLE  | 2007/06/11 | 435 | 4 | 5 | 116
|GCR5C1     | Sao Macario     | VISEU      | rifkindsss | 40.88 | -8.06 | MULTI      | REGULAR    | 2.00 | 2.00 | AVAILABLE  | 2005/10/23 | 231 | 6 | 16 | -9999999
|GC15KMM    | Barragem da Bouca | LEIRIA     | salta-pocinhas | 39.85 | -8.22 | TRADITIONAL | REGULAR    | 2.00 | 3.00 | AVAILABLE  | 2007/09/02 | 128 | 4 | 4 | -9999999
|GC101DW    | As Duas Torres [Minas Tirith] | SETUBAL    | almeidara  | 38.63 | -9.19 | MULTI      | REGULAR    | 2.50 | 2.50 | AVAILABLE  | 2007/01/01 | 193 | 25 | 8 | 49
|GCX43C     | Saint Claire [Barragem de Santa Clara] | BEJA       | CrisLuiz   | 37.53 | -8.44 | TRADITIONAL | SMALL      | 1.50 | 3.50 | AVAILABLE  | 2006/07/12 | 66 | 2 | 9 | 125
|GCXZY2     | Toledo Spot     | SETUBAL    | pmateus21  | 38.48 | -8.98 | TRADITIONAL | REGULAR    | 2.00 | 3.00 | AVAILABLE  | 2006/08/26 | 407 | 8 | 13 | 23
|GC15DFN    | TF-05 Alto da Cova da Velha | LEIRIA     | trifaisca  | 39.56 | -8.81 | TRADITIONAL | REGULAR    | 2.50 | 3.00 | AVAILABLE  | 2007/08/25 | 300 | 2 | 38 | 506
|GC17AKM    | Forte do Cavalo - Farois de Portugal | SETUBAL    | PPereira   | 38.43 | -9.12 | TRADITIONAL | REGULAR    | 2.00 | 2.50 | AVAILABLE  | 2007/11/10 | 849 | 15 | 1 | 8
|GC1213C    | O Ultimo Uivo   | BRAGA      | TheCelticSpirit | 41.74 | -8.35 | TRADITIONAL | REGULAR    | 2.00 | 1.50 | AVAILABLE  | 2007/04/08 | 89 | 0 | 3 | 672
|GCZWE8     | All roads lead to Rome | BRAGANCA   | danieloliveira | 41.79 | -6.89 | TRADITIONAL | REGULAR    | 2.00 | 2.00 | AVAILABLE  | 2006/12/19 | 86 | 0 | 4 | 744
|GCZ62Y     | Linhas de Torres - Forte de Sao Vicente [T Vedras]LISBOA | LISBOA     | vsergios   | 39.10 | -9.27 | TRADITIONAL | SMALL      | 1.50 | 1.50 | AVAILABLE  | 2006/11/03 | 698 | 22 | 11 | -9999999
|GC13JN5    | Penedo de Pena Maior [Braganca] | BRAGANCA   | Bargao_Henriques | 41.71 | -6.66 | TRADITIONAL | REGULAR    | 1.50 | 1.50 | AVAILABLE  | 2007/06/09 | 32 | 0 | 3 | 654
|GCMFRX     | Cerro de S. Miguel [Moncarapacho] | FARO       | Torgut     | 37.10 | -7.83 | TRADITIONAL | REGULAR    | 2.00 | 2.00 | AVAILABLE  | 2005/01/11 | 410 | 5 | 13 | 363
|GCVVZH     | Expedicao Scientifica a Serra da Estrella | GUARDA     | Os Cacheiros Viajantes | 40.35 | -7.62 | TRADITIONAL | REGULAR    | 2.00 | 2.00 | AVAILABLE  | 2006/04/25 | 192 | 7 | 5 | 1838
|GC15VRB    | Moinho das Pernadas [Odeleite] | FARO       | NFreitas   | 37.35 | -7.47 | TRADITIONAL | MICRO      | 1.50 | 1.00 | AVAILABLE  | 2007/09/10 | 149 | 3 | 7 | 17
|GC1119W    | Serra Sagrada de Grandola | SETUBAL    | os_cinco_airados | 38.17 | -8.59 | TRADITIONAL | SMALL      | 1.00 | 1.50 | AVAILABLE  | 2007/02/19 | 251 | 2 | 4 | 139
|GC11BZ3    | Castelo de Abrantes | SANTAREM   | Kitiara & Sal | 39.46 | -8.19 | MULTI      | REGULAR    | 2.00 | 1.50 | AVAILABLE  | 2007/03/11 | 333 | 47 | 11 | 182
|GC15WCE    | Rappel na Ponte [Ponte de Sor] | PORTALEGRE | fjpm777    | 39.30 | -7.96 | MULTI      | REGULAR    | 3.50 | 5.00 | AVAILABLE  | 2007/09/11 | 45 | 3 | 8 | 134
|GCTAT9     | Rotas Lusitanas - Cabeco das Fraguas | GUARDA     | beirabaixa.net | 40.42 | -7.22 | TRADITIONAL | REGULAR    | 3.50 | 4.00 | AVAILABLE  | 2006/02/04 | 46 | 1 | 7 | -9999999
|GC15X3H    | AsSeteColinas #2 - Sto. Andre | LISBOA     | WIMM Team  | 38.72 | -9.13 | TRADITIONAL | OTHER_SIZE | 2.50 | 1.00 | AVAILABLE  | 2007/09/12 | 909 | 90 | 16 | 78
|GCZCAW     | eMula [Sintra]  | LISBOA     | SUp3rFM & Cruella | 38.76 | -9.42 | PUZZLE     | SMALL      | 3.00 | 2.50 | AVAILABLE  | 2006/11/15 | 222 | 24 | 11 | -9999999
|GCN5HB     | Stone Verses    | LISBOA     | Kelux      | 38.70 | -9.30 | TRADITIONAL | SMALL      | 2.00 | 2.00 | AVAILABLE  | 2005/03/20 | 1226 | 41 | 34 | 77
|GCG1YD     | 16 (silly name, isn't it?) [Loule] | FARO       | afonso_loureiro | 37.16 | -8.03 | TRADITIONAL | MICRO      | 1.50 | 1.00 | AVAILABLE  | 2003/05/05 | 510 | 8 | 2 | 291
|GC12G4N    | Ribeira da Meimoa - dos Lusitanos ao Rock | CASTELO BRANCO | Blue_Trekkers | 40.23 | -7.19 | MULTI      | SMALL      | 3.00 | 2.00 | AVAILABLE  | 2007/04/28 | 93 | 7 | 0 | 475
|GC11CPZ    | #400 [Lisboa]   | LISBOA     | B.O.D.A.   | 38.74 | -9.19 | MULTI      | REGULAR    | 5.00 | 5.00 | AVAILABLE  | 2007/03/11 | 251 | 9 | 82 | 93
|GCNCBT     | The Secret of St. John's Arganauts [Caminha] | VIANA DO CASTELO | Os Cacheiros Viajantes | 41.84 | -8.73 | TRADITIONAL | REGULAR    | 2.50 | 2.00 | AVAILABLE  | 2005/04/03 | 265 | 8 | 19 | 439
|GCRX74     | Monte Abraao Stonehenge | LISBOA     | Lopesco    | 38.77 | -9.26 | TRADITIONAL | SMALL      | 3.00 | 3.00 | AVAILABLE  | 2006/01/07 | 311 | 16 | 4 | -9999999
|GCJDQ0     | Alto da Boa Viagem [Caxias] | LISBOA     | btrodrigues | 38.70 | -9.26 | TRADITIONAL | SMALL      | 1.50 | 2.00 | AVAILABLE  | 2004/05/10 | 734 | 61 | 6 | -9999999
|GC144NK    | Santa Rita [Tavira] | FARO       | alieri     | 37.19 | -7.57 | MULTI      | SMALL      | 1.00 | 2.00 | AVAILABLE  | 2007/06/30 | 310 | 3 | 1 | 114
|GC10Q5F    | PROJECTO VG - MONTES ALTOS [ALQUEVA] | EVORA      | Portelada  | 38.32 | -7.39 | TRADITIONAL | MICRO      | 2.00 | 1.50 | AVAILABLE  | 2007/02/02 | 90 | 1 | 0 | 169
|GC14Y15    | GT Friends Cache [Serra do Sintra] [Lisbon] | LISBOA     | golden-team | 38.78 | -9.41 | TRADITIONAL | REGULAR    | 1.00 | 4.50 | AVAILABLE  | 2007/08/05 | 280 | 18 | 73 | 409
|GC144JJ    | Senhora da Penha [Portalegre] | PORTALEGRE | Saldanha Team | 39.30 | -7.44 | TRADITIONAL | SMALL      | 1.00 | 2.00 | AVAILABLE  | 2007/07/05 | 731 | 2 | 5 | 471
|GC8C23     | Picture your Flag [Lisboa] | LISBOA     | ricardobsilva | 38.77 | -9.09 | VIRTUAL    | VIRTUAL    | 1.00 | 1.00 | AVAILABLE  | 2002/09/09 | 3821 | 1 | 144 | 0
|GC167C2    | Ermidas-Sado [Santiago do Cacem] | SETUBAL    | MightyReek | 38.00 | -8.41 | MULTI      | SMALL      | 2.00 | 2.00 | AVAILABLE  | 2007/09/25 | 95 | 19 | 5 | -9999999
|GCF508     | Far away, so close | CASTELO BRANCO | GreenShades | 39.64 | -7.69 | TRADITIONAL | REGULAR    | 2.00 | 4.00 | AVAILABLE  | 2003/04/06 | 206 | 21 | 71 | 165
|GCTYTF     | Dress Code [Lisboa] | LISBOA     | B.O.D.A.   | 38.78 | -9.16 | MULTI      | SMALL      | 2.00 | 1.50 | AVAILABLE  | 2006/03/19 | 263 | 13 | 53 | 69
|GCGGC1     | Historical Villages - Castelo Novo | CASTELO BRANCO | MAntunes   | 40.08 | -7.50 | TRADITIONAL | REGULAR    | 2.00 | 1.50 | AVAILABLE  | 2003/07/20 | 526 | 9 | 34 | 632
|GC13HFZ    | Vassouras de raposa | SANTAREM   | juquinha   | 39.51 | -8.03 | TRADITIONAL | REGULAR    | 1.00 | 2.00 | AVAILABLE  | 2007/06/10 | 130 | 0 | 0 | -9999999
|GCT5Z4     | Maunca          | LEIRIA     | SERGIO CRUZ | 39.67 | -8.76 | TRADITIONAL | REGULAR    | 1.00 | 4.50 | AVAILABLE  | 2006/01/25 | 226 | 11 | 7 | 404
|GCWJ4A     | PROJECTO VG - PATAIAS - [Alcobaca] | LEIRIA     | viperunderground | 39.69 | -9.00 | TRADITIONAL | SMALL      | 1.50 | 3.00 | AVAILABLE  | 2006/06/12 | 257 | 8 | 4 | -9999999
|GCGP33     | Stairway to...  | VISEU      | jppina     | 40.61 | -7.75 | TRADITIONAL | REGULAR    | 2.00 | 2.00 | AVAILABLE  | 2003/08/18 | 583 | 16 | 3 | 564
|GCP750     | Fontes da Machada | SETUBAL    | LuckyRed   | 38.62 | -9.04 | MULTI      | REGULAR    | 3.00 | 3.00 | AVAILABLE  | 2005/06/05 | 233 | 41 | 14 | 30
|GCXFPA     | Escada do Ceu   | ARQUIPELAGO DOS ACORES | pattertwig | 39.46 | -31.25 | TRADITIONAL | SMALL      | 2.00 | 3.50 | AVAILABLE  | 2006/07/28 | 90 | 2 | 17 | -9999999
|GC11VE3    | na Paz do Parque (again) [parque da paz #1] | SETUBAL    | bolacha    | 38.66 | -9.17 | TRADITIONAL | REGULAR    | 2.50 | 2.00 | AVAILABLE  | 2007/04/01 | 813 | 94 | 8 | 25
|GCRH8W     | A walk in the Park [Lisboa] | LISBOA     | Felinos    | 38.73 | -9.15 | MULTI      | SMALL      | 2.00 | 1.50 | DISABLED   | 2005/12/02 | 1076 | 83 | 24 | 73
|GCYVR7     | Miradouros [Vouzela, Viseu] | VISEU      | almeidara  | 40.72 | -8.13 | MULTI      | REGULAR    | 1.50 | 1.50 | AVAILABLE  | 2006/10/13 | 129 | 6 | 4 | 430
